generation,kappa_mean,kappa_median,kappa_sd,kappa_min,kappa_max,kappa_q25,kappa_q75,mean_fitness,n_pop
376,0.7299,0.7299,0.0111,0.7038,0.7525,0.7231,0.7367,1.0071,100
377,0.7305,0.7329,0.0121,0.6941,0.7577,0.7251,0.7381,1.0067,100
378,0.7314,0.7311,0.0121,0.7028,0.7657,0.7256,0.7387,1.0068,100
379,0.7317,0.7325,0.0128,0.697,0.7655,0.7226,0.7398,1.0063,100
380,0.729,0.7299,0.0122,0.6982,0.7632,0.7214,0.7362,1.0067,100
381,0.728,0.7277,0.0111,0.7011,0.7532,0.7203,0.7366,1.0069,100
382,0.7317,0.7326,0.011,0.6994,0.7627,0.7242,0.7398,1.0069,100
383,0.7294,0.7285,0.0119,0.6859,0.7592,0.7216,0.7364,1.0069,100
384,0.7304,0.7332,0.0132,0.6943,0.754,0.721,0.7402,1.006,100
385,0.7317,0.7318,0.0113,0.7039,0.7622,0.7244,0.7395,1.007,100
386,0.7301,0.7307,0.0116,0.707,0.7595,0.7219,0.7372,1.0067,100
387,0.73,0.7303,0.0121,0.6986,0.7628,0.7223,0.7385,1.0066,100
388,0.7307,0.7298,0.0116,0.7018,0.7649,0.723,0.737,1.007,100
389,0.7289,0.7302,0.0126,0.6919,0.7574,0.722,0.7374,1.0065,100
390,0.7318,0.7315,0.0121,0.6984,0.7598,0.7227,0.7407,1.0065,100
391,0.7299,0.7295,0.0118,0.7003,0.7585,0.721,0.7375,1.0067,100
392,0.7307,0.7296,0.012,0.6981,0.7696,0.7238,0.7374,1.007,100
393,0.7276,0.7274,0.0107,0.7018,0.7538,0.7199,0.7334,1.007,100
394,0.7308,0.7315,0.0104,0.7084,0.7524,0.725,0.7374,1.0073,100
395,0.7305,0.7309,0.0119,0.7018,0.7612,0.7219,0.7381,1.0068,100
396,0.7297,0.7296,0.0101,0.7081,0.7577,0.7215,0.7365,1.0072,100
397,0.7311,0.7293,0.0102,0.7073,0.7611,0.7236,0.7379,1.0074,100
398,0.73,0.7308,0.0104,0.7023,0.76,0.723,0.7363,1.0073,100
399,0.7287,0.7292,0.0119,0.7008,0.7526,0.7194,0.7369,1.0065,100
400,0.7298,0.73,0.0102,0.6986,0.7522,0.7238,0.7357,1.0075,100
